[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[370293, 370293]  |    2023D-nib1-fib3   |     0.6512 fb^-1  |   795549 to  795549  |    1  |  1580
[370294, 370321]  |    2023D-nib1-fib4   |     0.9257 fb^-1  |   796166 to  797501  |    5  |  2679
[370332, 370332]  |    2023D-nib1-fib5   |     0.7176 fb^-1  |   797540 to  797540  |    1  |  1966
[370340, 370472]  |    2023D-nib1-fib6   |      1.179 fb^-1  |   798417 to  801082  |    7  |  2849
[370497, 370579]  |    2023D-nib1-fib7   |     0.8837 fb^-1  |   801218 to  803139  |    4  |  2184
[370580, 370580]  |    2023D-nib1-fib8   |     0.9205 fb^-1  |   803177 to  803177  |    1  |  2875
[370667, 370749]  |    2023D-nib1-fib9   |     0.8776 fb^-1  |   805450 to  807441  |    4  |  2122
[370753, 370790]  |    2023D-nib1-fib10  |     0.8295 fb^-1  |   808038 to  809211  |    6  |  2144
[378985, 379355]  |    2024B-nib1-fib1   |     0.1302 fb^-1  |  1189464 to 1199739  |   16  |  5938
[379416, 379618]  |    2024C-nib1-fib1   |      1.224 fb^-1  |  1202014 to 1207243  |   12  |  5438
[379660, 379729]  |    2024C-nib1-fib2   |     0.9465 fb^-1  |  1207729 to 1209218  |    3  |  3378
[379765, 379866]  |    2024C-nib1-fib3   |     0.8545 fb^-1  |  1210443 to 1215157  |    3  |  3199
[379984, 380043]  |    2024C-nib1-fib4   |      1.373 fb^-1  |  1217507 to 1219604  |    9  |  4168
[380049, 380066]  |    2024C-nib1-fib5   |     0.8336 fb^-1  |  1220110 to 1221017  |    6  |  2466
[380074, 380115]  |    2024C-nib1-fib6   |      1.078 fb^-1  |  1221504 to 1223142  |    2  |  3098
[380126, 380236]  |    2024C-nib1-fib7   |     0.9291 fb^-1  |  1223969 to 1226592  |    7  |  2551
[380306, 380349]  |    2024D-nib1-fib1   |      1.188 fb^-1  |  1228074 to 1229679  |    7  |  3365
[380360, 380384]  |    2024D-nib1-fib2   |      1.137 fb^-1  |  1230176 to 1231617  |    3  |  3099
[380385, 380444]  |    2024D-nib1-fib3   |     0.8159 fb^-1  |  1231914 to 1233561  |    4  |  2317
[380446, 380470]  |    2024D-nib1-fib4   |      1.307 fb^-1  |  1233693 to 1234866  |    4  |  3976
[380481, 380513]  |    2024D-nib1-fib5   |     0.8182 fb^-1  |  1235857 to 1236755  |    2  |  2018
[380517, 380564]  |    2024D-nib1-fib6   |     0.9991 fb^-1  |  1237220 to 1238387  |    6  |  2752
[380567, 380624]  |    2024D-nib1-fib7   |     0.7999 fb^-1  |  1238694 to 1241236  |    3  |  2278
[380625, 380947]  |    2024D-nib1-fib8   |     0.8914 fb^-1  |  1241554 to 1253498  |    8  |  3446
[380963, 381065]  |  2024Ev1-nib1-fib1   |     0.9181 fb^-1  |  1254042 to 1256416  |    4  |  2407
[381067, 381079]  |  2024Ev1-nib1-fib2   |     0.7665 fb^-1  |  1256733 to 1257666  |    6  |  2201
[381080, 381115]  |  2024Ev1-nib1-fib3   |     0.7742 fb^-1  |  1257824 to 1258512  |    4  |  2322
[381147, 381164]  |  2024Ev1-nib1-fib4   |       1.09 fb^-1  |  1259238 to 1260051  |    7  |  2819
[381190, 381191]  |  2024Ev1-nib1-fib5   |     0.7872 fb^-1  |  1260796 to 1261225  |    2  |  2219
[381199, 381364]  |  2024Ev1-nib1-fib6   |     0.8661 fb^-1  |  1262005 to 1265614  |    6  |  2088
[381365, 381380]  |  2024Ev1-nib1-fib7   |      1.078 fb^-1  |  1265782 to 1266737  |    4  |  2976
[381384, 381384]  |  2024Ev2-nib1-fib1   |      1.004 fb^-1  |  1267524 to 1267524  |    1  |  3482
[381417, 381443]  |  2024Ev2-nib1-fib2   |      1.262 fb^-1  |  1269470 to 1270816  |    2  |  3305
[381477, 381515]  |  2024Ev2-nib1-fib3   |      1.382 fb^-1  |  1272230 to 1274281  |    7  |  3601
[381516, 381544]  |  2024Ev2-nib1-fib4   |      1.392 fb^-1  |  1274482 to 1275492  |    3  |  4154
[382229, 382262]  |    2024F-nib1-fib1   |     0.8792 fb^-1  |  1298019 to 1299751  |    7  |  2837
[382298, 382329]  |    2024F-nib2-fib2   |      1.142 fb^-1  |  1300059 to 1301716  |    7  |  2971
[382343, 382343]  |    2024F-nib2-fib3   |     0.9306 fb^-1  |  1302541 to 1302541  |    1  |  2208
[382344, 382580]  |    2024F-nib2-fib4   |      1.121 fb^-1  |  1303402 to 1310863  |    4  |  2821
[382594, 382594]  |    2024F-nib2-fib5   |     0.5912 fb^-1  |  1311989 to 1311989  |    1  |  1406
[382595, 382650]  |    2024F-nib2-fib6   |     0.9984 fb^-1  |  1312537 to 1314347  |    5  |  2630
[382654, 382684]  |    2024F-nib2-fib7   |      1.432 fb^-1  |  1314594 to 1316211  |    5  |  3564
[382685, 382752]  |    2024F-nib2-fib8   |     0.9536 fb^-1  |  1316666 to 1318508  |    7  |  2338
[382769, 382769]  |    2024F-nib2-fib9   |     0.6312 fb^-1  |  1319059 to 1319059  |    1  |  1534
[382770, 382830]  |    2024F-nib2-fib10  |     0.9192 fb^-1  |  1319659 to 1321916  |    9  |  2415
[382834, 382878]  |    2024F-nib2-fib11  |     0.8831 fb^-1  |  1322163 to 1323174  |    3  |  2037
[382913, 382921]  |    2024F-nib2-fib12  |      1.354 fb^-1  |  1324241 to 1325304  |    2  |  3472
[382922, 383153]  |    2024F-nib2-fib13  |      1.022 fb^-1  |  1325804 to 1331190  |   10  |  3021
[383155, 383162]  |    2024F-nib2-fib14  |        1.4 fb^-1  |  1331278 to 1332223  |    2  |  3382
[383163, 383175]  |    2024F-nib2-fib15  |     0.9792 fb^-1  |  1332829 to 1333955  |    4  |  2622
[383247, 383277]  |    2024F-nib3-fib16  |      1.401 fb^-1  |  1334872 to 1336300  |    6  |  3396
[383323, 383367]  |    2024F-nib3-fib17  |      1.172 fb^-1  |  1337135 to 1338684  |    6  |  2780
[383368, 383417]  |    2024F-nib3-fib18  |     0.8094 fb^-1  |  1338796 to 1340705  |    3  |  2095
[383418, 383467]  |    2024F-nib3-fib19  |      1.284 fb^-1  |  1341011 to 1342890  |    5  |  3281
[383468, 383468]  |    2024F-nib3-fib20  |     0.8093 fb^-1  |  1342961 to 1342961  |    1  |  2149
[383485, 383487]  |    2024F-nib3-fib21  |     0.8714 fb^-1  |  1344025 to 1344107  |    3  |  2236
[383496, 383512]  |    2024F-nib3-fib22  |     0.8163 fb^-1  |  1345132 to 1345366  |    2  |  1936
[383514, 383631]  |    2024F-nib3-fib23  |      1.121 fb^-1  |  1346113 to 1348076  |    7  |  2841
[383647, 383687]  |    2024F-nib3-fib24  |      0.914 fb^-1  |  1348863 to 1350006  |    8  |  2119
[383692, 383712]  |    2024F-nib3-fib25  |      1.383 fb^-1  |  1350320 to 1351234  |    5  |  3336
