#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 381515:9707  | 06/03/24 22:01:00 | 514  | 514  | 0.235654869    | 0.217084665   |
| 381516:9707  | 06/04/24 01:22:53 | 1667 | 1667 | 0.590638498    | 0.562113987   |
| 381543:9708  | 06/04/24 14:37:55 | 512  | 512  | 0.239231550    | 0.224612696   |
| 381544:9708  | 06/04/24 18:12:43 | 1970 | 1970 | 0.647233806    | 0.622974779   |
| 382229:9806  | 06/20/24 09:39:20 | 313  | 313  | 0.024572233    | 0.023209700   |
| 382250:9808  | 06/20/24 16:24:45 | 890  | 890  | 0.229197391    | 0.219413260   |
| 382255:9810  | 06/21/24 04:47:31 | 97   | 97   | 0.031606731    | 0.029024000   |
| 382256:9810  | 06/21/24 05:26:51 | 67   | 67   | 0.031858564    | 0.028260281   |
| 382257:9810  | 06/21/24 06:11:04 | 70   | 70   | 0.033320781    | 0.029686674   |
| 382258:9810  | 06/21/24 06:41:16 | 1148 | 1147 | 0.511252461    | 0.489880741   |
| 382262:9810  | 06/21/24 14:31:56 | 253  | 253  | 0.080924082    | 0.078053736   |
| 382298:9812  | 06/21/24 19:39:36 | 53   | 53   | 0.015076787    | 0.014549742   |
| 382299:9812  | 06/21/24 20:38:11 | 807  | 807  | 0.390978923    | 0.361262946   |
| 382300:9812  | 06/22/24 01:55:26 | 1186 | 1186 | 0.389333113    | 0.377187842   |
| 382313:9813  | 06/22/24 11:50:52 | 389  | 389  | 0.177773046    | 0.169272947   |
| 382314:9813  | 06/22/24 14:26:01 | 295  | 295  | 0.144248797    | 0.136737877   |
| 382328:9816  | 06/22/24 22:38:19 | 90   | 90   | 0.034618245    | 0.031575643   |
| 382329:9816  | 06/22/24 23:16:38 | 150  | 150  | 0.073222065    | 0.068886734   |
| 382343:9819  | 06/23/24 13:01:16 | 2208 | 2208 | 1.003132014    | 0.945441156   |
| 382344:9819  | 06/24/24 03:22:08 | 355  | 355  | 0.131046363    | 0.126494599   |
| 382504:9832  | 06/27/24 14:22:09 | 349  | 349  | 0.155143639    | 0.146892829   |
| 382568:9838  | 06/28/24 23:55:16 | 406  | 406  | 0.183546662    | 0.172926920   |
| 382580:9840  | 06/29/24 07:43:50 | 1711 | 1711 | 0.729620543    | 0.695393044   |
| 382594:9842  | 06/30/24 02:29:05 | 1406 | 1406 | 0.633121455    | 0.602742045   |
| 382595:9842  | 06/30/24 11:37:12 | 854  | 854  | 0.262067847    | 0.254019263   |
| 382617:9843  | 06/30/24 19:33:03 | 701  | 701  | 0.311691538    | 0.297451549   |
| 382626:9846  | 07/01/24 07:24:48 | 359  | 359  | 0.164205432    | 0.154825792   |
| 382649:9848  | 07/01/24 14:36:50 | 482  | 482  | 0.222204876    | 0.202894323   |
| 382650:9848  | 07/01/24 17:47:17 | 234  | 234  | 0.115840751    | 0.109868410   |
| 382654:9849  | 07/01/24 21:54:59 | 1638 | 1638 | 0.757954881    | 0.713441659   |
| 382655:9849  | 07/02/24 08:36:08 | 394  | 394  | 0.129863680    | 0.125318006   |
| 382656:9849  | 07/02/24 11:12:31 | 294  | 294  | 0.081187340    | 0.078489858   |
| 382679:9851  | 07/02/24 21:51:44 | 71   | 71   | 0.021116188    | 0.020588001   |
| 382684:9852  | 07/03/24 00:51:55 | 1164 | 1164 | 0.556670527    | 0.521192317   |
| 382685:9852  | 07/03/24 08:26:34 | 483  | 482  | 0.184160261    | 0.176771699   |
| 382686:9852  | 07/03/24 11:40:25 | 141  | 141  | 0.044841863    | 0.043500967   |
| 382725:9857  | 07/03/24 21:33:58 | 369  | 369  | 0.167387794    | 0.157099260   |
| 382729:9859  | 07/04/24 06:43:25 | 55   | 55   | 0.016160815    | 0.015162915   |
| 382730:9859  | 07/04/24 07:13:29 | 52   | 52   | 0.024062650    | 0.022313026   |
