[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[398240, 398289]  |    2025G-nib1-fib7   |      1.209 fb^-1  |  1994246 to 1995519  |    3  |  2709
[398293, 398293]  |    2025G-nib1-fib8   |     0.7727 fb^-1  |  1995847 to 1995847  |    1  |  1768
[398308, 398315]  |    2025G-nib1-fib9   |      1.096 fb^-1  |  1996673 to 1997530  |    3  |  2459
[398335, 398348]  |    2025G-nib1-fib10  |      1.476 fb^-1  |  1998024 to 1999206  |    4  |  3216
[398365, 398390]  |    2025G-nib1-fib11  |     0.8011 fb^-1  |  1999937 to 2000809  |    5  |  1806
[398391, 398391]  |    2025G-nib1-fib12  |     0.8045 fb^-1  |  2000856 to 2000856  |    1  |  1763
[398395, 398396]  |    2025G-nib1-fib13  |     0.8569 fb^-1  |  2001688 to 2002000  |    2  |  1974
[398416, 398465]  |    2025G-nib1-fib14  |      1.407 fb^-1  |  2002605 to 2004881  |    9  |  3095
[398515, 398539]  |    2025G-nib1-fib15  |      1.137 fb^-1  |  2005676 to 2006615  |    4  |  2524
[398540, 398549]  |    2025G-nib1-fib16  |      1.356 fb^-1  |  2006806 to 2007874  |    5  |  3085
[398558, 398595]  |    2025G-nib1-fib17  |      1.361 fb^-1  |  2008320 to 2009813  |    4  |  3085
[398600, 398600]  |    2025G-nib1-fib18  |     0.9053 fb^-1  |  2010020 to 2010020  |    1  |  2105
[398647, 398675]  |    2025G-nib1-fib19  |     0.6552 fb^-1  |  2011628 to 2012785  |    4  |  1548
[398680, 398802]  |    2025G-nib1-fib20  |     0.9929 fb^-1  |  2012884 to 2019254  |    5  |  2340
[398827, 398827]  |    2025G-nib1-fib21  |     0.6071 fb^-1  |  2019979 to 2019979  |    1  |  1277
[398828, 398860]  |    2025G-nib1-fib22  |     0.9046 fb^-1  |  2020485 to 2021104  |    4  |  2094
[401630, 401803]  |    2026A-nib1-fib1   |     0.6448 fb^-1  |  2198822 to 2204820  |   15  |  7363
[401844, 401918]  |    2026B-nib1-fib1   |     0.9148 fb^-1  |  2205895 to 2208914  |    8  |  3889
[401919, 402040]  |    2026B-nib1-fib2   |      1.214 fb^-1  |  2208981 to 2211624  |   10  |  3373
[402046, 402046]  |    2026B-nib1-fib3   |       0.69 fb^-1  |  2212061 to 2212061  |    1  |  1966
[402069, 402069]  |    2026B-nib1-fib4   |     0.8942 fb^-1  |  2212976 to 2212976  |    1  |  1867
[402070, 402144]  |    2026B-nib1-fib5   |      1.122 fb^-1  |  2213704 to 2216051  |    4  |  2484
[402171, 402189]  |    2026B-nib1-fib6   |      1.011 fb^-1  |  2217096 to 2218199  |    5  |  2299
[402205, 402207]  |    2026B-nib1-fib7   |     0.9705 fb^-1  |  2219084 to 2219741  |    3  |  2133
[402221, 402243]  |    2026B-nib1-fib8   |      1.155 fb^-1  |  2220055 to 2221104  |    3  |  2601
[402244, 402244]  |    2026B-nib1-fib9   |     0.9223 fb^-1  |  2221223 to 2221223  |    1  |  1982
[402247, 402247]  |    2026B-nib1-fib10  |     0.8825 fb^-1  |  2222122 to 2222122  |    1  |  1850
[402248, 402330]  |    2026B-nib1-fib11  |      1.295 fb^-1  |  2222851 to 2224701  |    5  |  2734
[402360, 402372]  |    2026B-nib1-fib12  |      1.173 fb^-1  |  2225560 to 2226176  |    6  |  2458
[402399, 402435]  |    2026B-nib1-fib13  |      1.092 fb^-1  |  2227085 to 2227845  |    5  |  2287
[402446, 402490]  |    2026B-nib1-fib14  |     0.8722 fb^-1  |  2228410 to 2229639  |    6  |  1830
[402512, 402513]  |    2026B-nib1-fib15  |      1.057 fb^-1  |  2230171 to 2230821  |    2  |  2230
[403441, 403457]  |    2026D-nib1-fib1   |      0.356 fb^-1  |  2277657 to 2278119  |    6  |  811
[403461, 403489]  |    2026D-nib1-fib2   |      1.241 fb^-1  |  2278363 to 2279448  |    2  |  2590
[403493, 403493]  |    2026D-nib1-fib3   |      1.008 fb^-1  |  2279818 to 2279818  |    1  |  2137
[403567, 403635]  |    2026D-nib1-fib4   |      1.186 fb^-1  |  2285345 to 2287541  |    5  |  2473
[403663, 403663]  |    2026D-nib1-fib5   |      1.113 fb^-1  |  2287915 to 2287915  |    1  |  2340
[403685, 403699]  |    2026D-nib1-fib6   |      1.073 fb^-1  |  2289124 to 2289956  |    6  |  2262
[403716, 403774]  |    2026D-nib1-fib7   |      1.438 fb^-1  |  2290505 to 2292414  |    6  |  3030
[403775, 403811]  |    2026D-nib1-fib8   |      1.083 fb^-1  |  2292486 to 2293534  |    2  |  2244
[403818, 403867]  |    2026D-nib1-fib9   |      1.386 fb^-1  |  2293872 to 2296162  |    2  |  2911
[402536, 402653]  |    2026C-nib1-fib1   |     0.7212 fb^-1  |  2231331 to 2240327  |   12  |  18523
[402654, 403214]  |    2026C-nib1-fib2   |       1.39 fb^-1  |  2241149 to 2269013  |   36  |  35562
